count,mean,median,min,max,std,config,trial,num_exits
80,135.2,139.0,5,232,52.80255675627838,1 derë - pengesë e rrotulluar 30°,12,1
80,147.775,157.0,1,241,50.42493802673435,1 derë - pengesë e rrotulluar 30°,13,1
80,149.8625,149.5,62,244,45.927318599609094,1 derë - pengesë e rrotulluar 30°,14,1
80,150.375,152.0,36,243,44.73236384319523,1 derë - pengesë e rrotulluar 30°,15,1
80,151.675,151.0,46,235,48.254993264946165,1 derë - pengesë e rrotulluar 30°,16,1
80,153.4625,152.0,53,232,46.30684175961475,1 derë - pengesë e rrotulluar 30°,17,1
80,153.925,150.5,40,263,50.38620222838788,1 derë - pengesë e rrotulluar 30°,18,1
80,140.9375,140.0,27,240,49.86866344459214,1 derë - pengesë e rrotulluar 30°,19,1
80,144.725,141.5,5,233,52.84552369879591,1 derë - pengesë e rrotulluar 30°,20,1
80,153.0125,159.5,39,246,44.42563836063585,1 derë - pengesë e rrotulluar 30°,21,1
80,152.475,149.0,1,250,57.025427442501474,1 derë - pengesë e rrotulluar 30°,22,1
80,140.1375,135.5,21,266,53.74331208392352,1 derë - pengesë e rrotulluar 30°,23,1
80,150.1875,148.5,25,240,47.70510815153866,1 derë - pengesë e rrotulluar 30°,24,1
80,151.3125,152.0,40,250,47.55512426384774,1 derë - pengesë e rrotulluar 30°,25,1
80,151.0125,149.5,30,252,55.65372713260092,1 derë - pengesë e rrotulluar 30°,26,1
80,144.9,154.0,14,246,54.81505267716159,1 derë - pengesë e rrotulluar 30°,27,1
80,152.0,153.5,18,240,53.618560219386715,1 derë - pengesë e rrotulluar 30°,28,1
80,149.0125,143.0,37,255,46.25783548492082,1 derë - pengesë e rrotulluar 30°,29,1
